State,County,Population,No. of Tracts
TX,Montgomery,455746,59
TX,Moore,21904,4
TX,Morris,12934,3
TX,Motley,1210,1
TX,Nacogdoches,64524,13
TX,Navarro,47735,10
TX,Newton,14445,4
TX,Nolan,15216,5
TX,Nueces,340223,81
TX,Ochiltree,10223,3
TX,Oldham,2052,1
TX,Orange,81837,21
TX,Palo Pinto,28111,9
TX,Panola,23796,6
TX,Parker,116927,19
TX,Parmer,10269,2
TX,Pecos,15507,4
TX,Polk,45413,10
TX,Potter,121073,34
TX,Presidio,7818,2
TX,Rains,10914,2
TX,Randall,120725,29
TX,Reagan,3367,1
TX,Real,3309,1
TX,Red River,12860,4
TX,Reeves,13783,5
TX,Refugio,7383,2
TX,Roberts,929,1
TX,Robertson,16622,5
TX,Rockwall,78337,11
TX,Runnels,10501,4
TX,Rusk,53330,13
TX,Sabine,10834,3
TX,San Augustine,8865,3
TX,San Jacinto,26384,4
TX,San Patricio,64804,16
TX,San Saba,6131,2
TX,Schleicher,3461,1
TX,Scurry,16921,4
TX,Shackelford,3378,1
TX,Shelby,25448,6
TX,Sherman,3034,1
TX,Smith,209714,41
TX,Somervell,8490,2
TX,Starr,60968,15
TX,Stephens,9630,3
TX,Sterling,1143,1
TX,Stonewall,1490,1
TX,Sutton,4128,1
TX,Swisher,7854,3
TX,Tarrant,1809034,357
TX,Taylor,131506,38
TX,Terrell,984,1
TX,Terry,12651,3
TX,Throckmorton,1641,1
TX,Titus,32334,8
TX,Tom Green,110224,25
TX,Travis,1024266,218
TX,Trinity,14585,5
TX,Tyler,21766,5
TX,Upshur,39309,7
TX,Upton,3355,2
TX,Uvalde,26405,5
TX,Val Verde,48879,10
TX,Van Zandt,52579,10
TX,Victoria,86793,23
TX,Walker,67861,10
TX,Waller,43205,6
TX,Ward,10658,3
TX,Washington,33718,6
TX,Webb,250304,61
TX,Wharton,41280,11
TX,Wheeler,5410,2
TX,Wichita,131500,37
TX,Wilbarger,13535,4
TX,Willacy,22134,6
TX,Williamson,422679,89
TX,Wilson,42918,11
TX,Winkler,7110,3
TX,Wise,59127,11
TX,Wood,41964,10
TX,Yoakum,7879,2
TX,Young,18550,4
TX,Zapata,14018,3
TX,Zavala,11677,4
UT,Beaver,6629,2
UT,Box Elder,49975,11
UT,Cache,112656,26
UT,Carbon,21403,5
UT,Daggett,1059,1
UT,Davis,306479,54
UT,Duchesne,18607,3
UT,Emery,10976,3
UT,Garfield,5172,2
UT,Grand,9225,2
UT,Iron,46163,8
UT,Juab,10246,2
UT,Kane,7125,2
UT,Millard,12503,3
UT,Morgan,9469,2
UT,Piute,1556,1
UT,Rich,2264,1
UT,Salt Lake,1029655,212
UT,San Juan,14746,4
UT,Sanpete,27822,5
UT,Sevier,20802,5
UT,Summit,36324,13
UT,Tooele,58218,11
UT,Uintah,32588,6
UT,Utah,516564,128
UT,Wasatch,23530,4
UT,Washington,138115,21
UT,Wayne,2778,1
UT,Weber,231236,50
VT,Addison,36821,10
VT,Bennington,37125,12
VT,Caledonia,31227,10
VT,Chittenden,156545,35
VT,Essex,6306,3
VT,Franklin,47746,10
VT,Grand Isle,6970,2
VT,Lamoille,24475,7
VT,Orange,28936,10
VT,Orleans,27231,10
VT,Rutland,61642,20
VT,Washington,59534,19
VT,Windham,44513,18
VT,Windsor,56670,18
VA,Accomack,33164,11
VA,Albemarle,98970,22
VA,Alleghany,16250,6
VA,Amelia,12690,2
VA,Amherst,32353,9
VA,Appomattox,14973,3
VA,Arlington,207627,59
VA,Augusta,73750,13
VA,Bath,4731,1
VA,Bedford,68676,16
VA,Bland,6824,2
VA,Botetourt,33148,8
VA,Brunswick,17434,5
VA,Buchanan,24098,7
VA,Buckingham,17146,4
VA,Campbell,54842,12
VA,Caroline,28545,7
VA,Carroll,30042,7
VA,Charles City,7256,3
VA,Charlotte,12586,3
VA,Chesterfield,316236,71
VA,Clarke,14034,3
VA,Craig,5190,1
VA,Culpeper,46689,8
VA,Cumberland,10052,2
VA,Dickenson,15903,4
VA,Dinwiddie,28001,7
VA,Essex,11151,3
VA,Fairfax,1081726,258
VA,Fauquier,65203,17
VA,Floyd,15279,3
VA,Fluvanna,25691,4
VA,Franklin,56159,10
VA,Frederick,78305,14
VA,Giles,17286,4
VA,Gloucester,36858,8
VA,Goochland,21717,5
VA,Grayson,15533,5
VA,Greene,18403,3
VA,Greensville,12243,3
VA,Halifax,36241,9
VA,Hanover,99863,23
VA,Henrico,306935,64
VA,Henry,54151,14
VA,Highland,2321,1
VA,Isle of Wight,35270,8
VA,James City,67009,11
VA,King and Queen,6945,2
VA,King George,23584,5
VA,King William,15935,4
VA,Lancaster,11391,3
VA,Lee,25587,6
VA,Loudoun,312311,65
VA,Louisa,33153,6
VA,Lunenburg,12914,3
VA,Madison,13308,2
VA,Mathews,8978,2
VA,Mecklenburg,32727,9
VA,Middlesex,10959,4
VA,Montgomery,94392,16
VA,Nelson,15020,3
VA,New Kent,18429,3
VA,Northampton,12389,4
VA,Northumberland,12330,3
VA,Nottoway,15853,4
VA,Orange,33481,5
VA,Page,24042,5
VA,Patrick,18490,4
VA,Pittsylvania,63506,16
VA,Powhatan,28046,5
VA,Prince Edward,23368,5
VA,Prince George,35725,7
VA,Prince William,402002,83
VA,Pulaski,34872,10
VA,Rappahannock,7373,2
VA,Richmond,9254,2
VA,Roanoke,92376,18
VA,Rockbridge,22307,4
VA,Rockingham,76314,19
VA,Russell,28897,7
VA,Scott,23177,6
VA,Shenandoah,41993,9
VA,Smyth,32208,9
VA,Southampton,18570,5
VA,Spotsylvania,122397,30
VA,Stafford,128961,27
VA,Surry,7058,2
VA,Sussex,12087,5
VA,Tazewell,45078,11
VA,Warren,37575,8
VA,Washington,54876,13
VA,Westmoreland,17454,4
VA,Wise,41452,11
VA,Wythe,29235,6
VA,York,65464,14
VA,Alexandria,139966,38
VA,Bedford City,6222,1
VA,Bristol,17835,4
VA,Buena Vista,6650,1
VA,Charlottesville,43475,12
VA,Chesapeake,222209,41
VA,Colonial Heights,17411,5
VA,Covington,5961,2
VA,Danville,43055,16
VA,Emporia,5927,2
VA,Fairfax City,22565,5
VA,Falls Church,12332,3
VA,Franklin City,8582,2
VA,Fredericksburg,24286,6
VA,Galax,7042,2
VA,Hampton,137436,34
VA,Harrisonburg,48914,11
VA,Hopewell,22591,7
VA,Lexington,7042,1
VA,Lynchburg,75568,19
VA,Manassas,37821,7
VA,Manassas Park,14273,2
VA,Martinsville,13821,5
VA,Newport News,180719,44
VA,Norfolk,242803,81
VA,Norton,3958,1
VA,Petersburg,32420,11
VA,Poquoson,12150,3
VA,Portsmouth,95535,31
VA,Radford,16408,3
VA,Richmond City,204214,66
VA,Roanoke City,97032,23
VA,Salem,24802,5
VA,Staunton,23746,6
VA,Suffolk,84585,28
VA,Virginia Beach,437994,100
VA,Waynesboro,21006,5
VA,Williamsburg,14068,3
VA,Winchester,26203,5
WA,Adams,18728,5
WA,Asotin,21623,6
WA,Benton,175177,37
WA,Chelan,72453,14
WA,Clallam,71404,22
WA,Clark,425363,104
WA,Columbia,4078,1
WA,Cowlitz,102410,24
WA,Douglas,38431,8
WA,Ferry,7551,3
WA,Franklin,78163,13
WA,Garfield,2266,1
WA,Grant,89120,16
WA,Grays Harbor,72797,17
WA,Island,78506,22
WA,Jefferson,29872,7
WA,King,1931249,397
WA,Kitsap,251133,55
WA,Kittitas,40915,8
WA,Klickitat,20318,3
WA,Lewis,75455,20
WA,Lincoln,10570,4
WA,Mason,60699,14
WA,Okanogan,41120,10
WA,Pacific,20920,8
WA,Pend Oreille,13001,5
WA,Pierce,795225,172
WA,San Juan,15769,5
WA,Skagit,116901,30
WA,Skamania,11066,5
WA,Snohomish,713335,151
WA,Spokane,471221,105
WA,Stevens,43531,12
WA,Thurston,252264,49
WA,Wahkiakum,3978,1
WA,Walla Walla,58781,12
WA,Whatcom,201140,34
WA,Whitman,44776,10
WA,Yakima,243231,45
WV,Barbour,16589,4
WV,Berkeley,104169,14
WV,Boone,24629,8
WV,Braxton,14523,3
WV,Brooke,24069,6
WV,Cabell,96319,29
WV,Calhoun,7627,2
WV,Clay,9386,3
WV,Doddridge,8202,2
WV,Fayette,46039,12
WV,Gilmer,8693,2
WV,Grant,11937,3
WV,Greenbrier,35480,7
WV,Hampshire,23964,5
WV,Hancock,30676,8
WV,Hardy,14025,3
WV,Harrison,69099,22
WV,Jackson,29211,6
WV,Jefferson,53498,15
WV,Kanawha,193063,53
WV,Lewis,16372,5
WV,Lincoln,21720,5
WV,Logan,36743,9
WV,McDowell,22113,8
WV,Marion,56418,18
WV,Marshall,33107,9
WV,Mason,27324,6
WV,Mercer,62264,16
WV,Mineral,28212,7
WV,Mingo,26839,7
WV,Monongalia,96189,24
WV,Monroe,13502,3
WV,Morgan,17541,4
WV,Nicholas,26233,7
WV,Ohio,44443,18
WV,Pendleton,7695,3
WV,Pleasants,7605,2
WV,Pocahontas,8719,4
WV,Preston,33520,8
WV,Putnam,55486,10
WV,Raleigh,78859,17
WV,Randolph,29405,7
WV,Ritchie,10449,3
WV,Roane,14926,4
WV,Summers,13927,4
WV,Taylor,16895,4
WV,Tucker,7141,3
WV,Tyler,9208,3
WV,Upshur,24254,6
WV,Wayne,42481,11
WV,Webster,9154,3
WV,Wetzel,16583,5
WV,Wirt,5717,2
WV,Wood,86956,26
WV,Wyoming,23796,6
WI,Adams,20875,7
WI,Ashland,16157,7
WI,Barron,45870,10
WI,Bayfield,15014,5
WI,Brown,248007,54
WI,Buffalo,13587,5
WI,Burnett,15457,6
WI,Calumet,48971,11
WI,Chippewa,62415,11
WI,Clark,34690,8
WI,Columbia,56833,12
WI,Crawford,16644,6
WI,Dane,488073,107
WI,Dodge,88759,20
WI,Door,27785,9
WI,Douglas,44159,12
WI,Dunn,43857,8
WI,Eau Claire,98736,20
WI,Florence,4423,2
WI,Fond du Lac,101633,20
WI,Forest,9304,4
WI,Grant,51208,12
WI,Green,36842,8
WI,Green Lake,19051,6
WI,Iowa,23687,6
WI,Iron,5916,3
WI,Jackson,20449,5
WI,Jefferson,83686,20
WI,Juneau,26664,7
WI,Kenosha,166426,35
WI,Kewaunee,20574,4
WI,La Crosse,114638,25
WI,Lafayette,16836,5
WI,Langlade,19977,6
WI,Lincoln,28743,10
WI,Manitowoc,81442,19
WI,Marathon,134063,27
WI,Marinette,41749,12
WI,Marquette,15404,5
WI,Menominee,4232,2
WI,Milwaukee,947735,297
WI,Monroe,44673,9
WI,Oconto,37660,10
WI,Oneida,35998,14
WI,Outagamie,176695,40
WI,Ozaukee,86395,18
WI,Pepin,7469,2
WI,Pierce,41019,8
WI,Polk,44205,10
WI,Portage,70019,14
WI,Price,14159,6
WI,Racine,195408,44
WI,Richland,18021,5
WI,Rock,160331,38
WI,Rusk,14755,5
WI,St. Croix,84345,14
WI,Sauk,61976,13
WI,Sawyer,16557,6
WI,Shawano,41949,11
WI,Sheboygan,115507,26
WI,Taylor,20689,6
WI,Trempealeau,28816,8
WI,Vernon,29773,7
WI,Vilas,21430,5
WI,Walworth,102228,22
WI,Washburn,15911,5
WI,Washington,131887,28
WI,Waukesha,389891,86
WI,Waupaca,52410,12
WI,Waushara,24496,7
WI,Winnebago,166994,41
WI,Wood,74749,17
WY,Albany,36299,10
WY,Big Horn,11668,3
WY,Campbell,46133,7
WY,Carbon,15885,5
WY,Converse,13833,4
WY,Crook,7083,2
WY,Fremont,40123,10
WY,Goshen,13249,4
WY,Hot Springs,4812,2
WY,Johnson,8569,2
WY,Laramie,91738,21
WY,Lincoln,18106,4
WY,Natrona,75450,18
WY,Niobrara,2484,1
WY,Park,28205,5
WY,Platte,8667,2
WY,Sheridan,29116,6
WY,Sublette,10247,2
WY,Sweetwater,43806,12
WY,Teton,21294,4
WY,Uinta,21118,3
WY,Washakie,8533,3
WY,Weston,7208,2
